代码,名称,综合评分,涨停次数(近20日),连板天数,首次涨停距今(天),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌幅,20日涨跌幅,技术评分,板块,所属行业,板块热度加分
000818,航锦科技,92.8,2,2,9,97.48,15.41,14.88,14.21,13.47,8.54,1.28,+5.69%,+2.60%,+6.57%,50,深交所,化学原料,0
000571,新大洲A,77.0,2,2,11,52.18,6.86,6.73,6.56,5.99,5.79,0.7,+0.29%,-1.58%,+18.28%,40,深交所,煤炭开采,0
000756,新华制药,60.8,1,1,10,67.05,14.87,14.61,14.0,13.14,5.49,1.08,+2.62%,+0.61%,+9.58%,40,深交所,化学制药,0
603906,龙蟠科技,53.1,1,1,11,147.39,28.99,28.53,27.9,26.08,9.51,0.81,-1.06%,-2.16%,+14.58%,35,上交所,电池,0
