代码,名称,涨停次数(近20日),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌幅,技术评分,综合评分,板块,所属行业
603989,艾华集团,3,113.33,30.7,26.97,23.94,22.08,8.62,3.05,+8.02%,+18.81%,55,130.3,上交所,元件
601133,柏诚股份,3,174.62,33.7,32.68,29.99,26.92,8.64,2.53,+2.15%,+1.72%,55,127.7,上交所,专业工程
603203,快克智能,4,165.81,66.55,61.52,61.51,54.54,5.82,0.85,+10.00%,+12.70%,40,124.3,上交所,自动化设
603269,海鸥股份,4,71.32,22.61,22.07,21.69,18.74,7.81,0.61,-2.12%,+7.67%,40,123.1,上交所,通用设备
605566,福莱蒽特,3,53.68,40.26,37.19,36.4,34.57,9.28,1.51,+10.00%,+7.13%,55,122.6,上交所,化学制品
603726,朗迪集团,2,55.69,30.06,29.26,28.5,26.49,6.71,1.81,+3.66%,+4.37%,60,109.1,上交所,家电零部
605123,派克新材,2,146.92,119.75,119.58,117.75,112.05,5.71,1.72,-0.69%,+1.39%,60,108.6,上交所,航空装备
605288,凯迪股份,2,73.44,109.9,106.2,94.21,88.68,5.17,2.79,+1.99%,-3.30%,50,104.0,上交所,自动化设
000026,飞亚达,2,93.15,27.04,23.97,22.12,20.33,9.88,1.61,+5.83%,+16.40%,55,103.0,深交所,饰品
600714,金瑞矿业,3,86.08,32.05,28.87,27.33,24.02,9.66,1.16,+7.30%,+18.05%,35,100.8,上交所,化学原料
000536,华映科技,1,118.54,4.39,4.19,4.09,4.05,7.6,3.42,+0.23%,+2.33%,60,97.1,深交所,光学光电
300835,龙磁科技,2,141.51,170.2,132.84,125.57,113.71,9.67,1.29,+20.00%,+40.49%,50,96.5,创业板,金属新材
600520,三佳科技,2,53.03,33.47,31.41,30.95,30.33,8.8,1.27,+9.99%,+11.20%,50,96.4,上交所,专用设备
603678,火炬电子,1,179.19,39.5,36.31,34.71,34.25,7.99,3.11,+4.83%,+15.33%,60,95.5,上交所,军工电子
600888,新疆众和,1,160.12,11.05,9.83,9.19,8.92,9.01,3.42,+7.18%,+17.93%,55,92.1,上交所,工业金属
688419,耐科装备,1,63.16,63.81,58.26,52.08,48.11,7.49,2.17,+5.58%,+17.30%,60,90.8,科创板,半导体
603859,能科科技,1,110.9,47.25,45.93,43.79,42.09,7.41,2.13,+2.52%,+5.78%,60,90.6,上交所,IT服务Ⅱ
603693,江苏新能,1,146.47,18.38,17.25,16.65,16.04,5.99,1.68,+3.90%,+8.76%,60,88.4,上交所,电力
601929,吉视传媒,1,116.21,3.1,3.09,3.03,2.99,8.49,2.54,+7.27%,+3.33%,55,87.7,上交所,电视广播
603439,三力制药,1,57.71,14.76,13.61,12.96,12.07,6.98,1.51,+3.29%,+13.63%,60,87.5,上交所,中药Ⅱ
605488,福莱新材,1,106.39,40.02,38.94,37.06,35.56,8.15,2.31,-2.10%,+4.11%,55,86.6,上交所,塑料
603931,格林达,2,109.06,59.35,52.58,48.81,43.59,5.58,1.15,+8.60%,+19.46%,40,85.8,上交所,电子化学
603990,麦迪科技,2,56.88,18.57,16.91,16.59,16.01,7.74,1.06,+10.01%,+12.68%,40,85.3,上交所,软件开发
603267,鸿远电子,1,149.95,67.79,62.24,59.67,56.63,9.6,1.87,+4.47%,+14.92%,55,84.3,上交所,军工电子
688610,埃科光电,1,67.42,202.28,182.79,158.75,142.22,8.68,1.64,-1.33%,+14.30%,55,83.2,科创板,通用设备
001331,胜通能源,1,108.4,61.66,60.03,57.26,52.56,7.54,1.45,+0.23%,+0.47%,55,82.3,深交所,燃气Ⅱ
600382,广东明珠,1,61.52,9.2,8.83,8.72,8.61,7.67,1.37,-3.77%,+3.84%,55,81.9,上交所,冶钢原料
603590,康辰药业,1,62.06,38.3,37.15,36.35,36.04,5.97,2.34,+1.43%,-2.35%,50,81.7,上交所,生物制品
603012,创力集团,1,61.74,10.32,9.58,9.51,9.24,5.95,1.32,+5.95%,+9.32%,55,81.6,上交所,专用设备
600962,国投中鲁,1,72.5,26.74,26.35,25.48,23.73,5.08,1.2,+1.44%,+3.48%,55,81.0,上交所,农产品加
603867,新化股份,1,90.91,42.07,40.18,39.06,36.91,6.98,1.16,-0.19%,+9.79%,40,65.8,上交所,化学制品
600783,鲁信创投,1,184.9,23.96,23.55,23.01,22.68,6.14,1.14,-1.84%,+0.71%,40,65.7,上交所,通用设备
300652,雷迪克,1,56.65,52.1,49.11,48.01,45.54,6.19,1.15,+5.72%,+9.75%,40,65.7,创业板,汽车零部
688699,明微电子,1,61.01,68.7,66.41,65.28,59.64,7.12,1.14,+5.84%,+10.36%,40,65.7,科创板,半导体
603800,洪田股份,1,130.25,64.6,60.13,58.7,55.14,6.02,1.11,+3.16%,+13.47%,40,65.5,上交所,专用设备
603608,天创时尚,1,70.89,17.37,17.12,15.85,14.49,6.52,0.98,+2.24%,+2.00%,40,64.9,上交所,服装家纺
600400,红豆股份,1,63.24,3.09,3.09,2.99,2.78,5.03,0.89,-2.22%,+2.32%,40,64.5,上交所,服装家纺
603002,宏昌电子,1,173.74,16.52,15.88,15.72,15.17,6.96,0.82,+1.41%,+9.26%,40,64.1,上交所,电子化学
600984,建设机械,1,59.21,5.07,4.94,4.92,4.57,5.21,0.81,+3.05%,+3.05%,40,64.1,上交所,工程机械
600353,旭光电子,1,192.53,23.69,23.21,21.85,19.78,7.75,0.79,+0.68%,+9.22%,40,64.0,上交所,其他电子
688551,科威尔,1,50.83,71.92,68.17,67.54,58.22,6.54,0.67,+7.33%,+13.17%,40,63.3,科创板,其他电源
600207,安彩高科,1,67.86,6.85,6.61,6.6,6.27,8.05,1.15,+1.78%,+2.24%,35,60.8,上交所,光伏设备
300263,隆华科技,1,134.04,13.92,13.32,12.74,11.76,9.36,0.9,+7.66%,+9.95%,35,59.5,创业板,通用设备
300004,南风股份,1,77.85,17.1,16.47,16.26,14.84,8.4,0.65,+5.88%,+11.33%,35,58.3,创业板,专用设备
688143,长盈通,1,158.89,152.5,139.39,118.0,93.13,8.31,0.57,+10.13%,+15.53%,35,57.8,科创板,通信设备
