代码,名称,综合评分,涨停次数(近20日),连板天数,首次涨停距今(天),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌幅,20日涨跌幅,技术评分,板块,所属行业,板块热度加分
000908,石药景峰,78.5,2,2,9,60.53,7.5,6.91,6.85,6.25,5.46,0.85,+9.97%,+10.29%,+10.46%,40,深交所,化学制药,0
605208,永茂泰,56.5,1,1,11,52.63,18.94,18.78,17.9,16.77,9.25,1.15,-1.92%,+2.49%,+24.93%,35,上交所,工业金属,0
