代码,名称,综合评分,涨停次数(近20日),连板天数,首次涨停距今(天),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌幅,20日涨跌幅,技术评分,板块,所属行业,板块热度加分
600829,人民同泰,133.5,2,2,3,57.35,10.4,9.12,8.63,8.35,5.79,3.85,+5.16%,+15.68%,+25.60%,60,上交所,医药商业,0
603367,辰欣药业,121.0,1,1,3,68.37,15.67,14.78,14.19,13.69,7.52,2.6,-0.38%,+3.77%,+20.26%,60,上交所,化学制药,10
300528,幸福蓝海,95.7,1,1,2,63.31,17.99,15.76,15.0,14.31,9.79,2.57,+5.89%,+27.05%,+31.31%,55,创业板,影视院线,0
000968,蓝焰控股,95.4,1,1,3,68.11,6.67,6.63,6.43,6.36,5.9,2.04,-1.77%,-5.26%,-5.66%,50,深交所,油气开采,0
000908,石药景峰,88.7,3,1,11,65.98,7.48,7.07,6.97,6.32,7.19,0.87,-0.27%,+9.68%,+13.51%,40,深交所,化学制药,10
688553,汇宇制药-W,69.3,1,1,12,64.75,13.28,12.81,12.75,11.93,5.78,0.93,+0.91%,+4.24%,-16.21%,40,科创板,化学制药,10
