代码,名称,综合评分,涨停次数(近20日),连板天数,首次涨停距今(天),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌幅,20日涨跌幅,技术评分,板块,所属行业,板块涨停比,板块趋势,板块热度加分
600698,湖南天雁,157.0,2,2,2,56.8,7.08,6.29,6.01,5.95,8.05,4.6,+3.51%,+13.83%,+10.97%,55,上交所,汽车零部,4/30,↑加速,11
600403,大有能源,106.7,4,1,9,136.28,5.58,5.55,5.38,5.24,5.49,1.67,+4.30%,-6.06%,-10.43%,50,上交所,煤炭开采,--,--,0
688237,超卓航科,104.0,1,1,1,58.7,71.2,59.54,56.03,55.07,7.38,1.9,+8.79%,+30.55%,+23.76%,60,科创板,航空装备,--,--,0
603496,恒为科技,95.3,2,1,13,80.31,26.67,25.79,24.93,24.43,9.11,1.23,+1.56%,+4.67%,+2.54%,50,上交所,计算机设,2/13,↑加速,13
600611,大众交通,88.5,2,1,7,65.66,4.02,4.0,3.92,3.82,5.02,1.05,+1.01%,-4.29%,-5.41%,40,上交所,铁路公路,1/4,→平稳,10
605196,华通线缆,85.3,2,1,9,149.62,30.3,29.32,27.05,26.23,6.34,1.03,+2.30%,+0.56%,+1.24%,40,上交所,电网设备,5/44,→平稳,15
