代码,名称,综合评分,涨停次数(近20日),连板天数,首次涨停距今(天),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌幅,20日涨跌幅,技术评分,板块,所属行业,板块热度加分
600063,皖维高新,107.6,1,1,6,143.8,7.47,7.22,6.9,6.66,8.36,3.46,+4.77%,+1.36%,+7.33%,55,上交所,化学纤维,0
601101,昊华能源,107.5,2,1,6,191.09,13.74,13.28,12.04,11.41,7.86,2.95,-1.93%,+3.15%,+26.29%,60,上交所,煤炭开采,0
600459,贵研铂业,106.4,2,1,6,178.15,24.24,22.94,22.04,21.25,9.71,1.84,+0.17%,+3.37%,+20.96%,55,上交所,小金属,5
603861,白云电器,103.1,1,1,6,88.38,17.35,17.14,16.49,16.43,6.88,2.51,+5.54%,+0.81%,+6.64%,60,上交所,电网设备,0
605580,恒盛能源,102.1,4,1,10,79.18,28.51,28.01,26.62,24.17,9.6,1.21,+0.81%,+10.89%,+32.11%,50,上交所,电力,10
600596,新安股份,97.9,3,1,10,194.34,14.32,13.42,13.16,12.66,7.36,1.29,-0.56%,+9.40%,+14.84%,55,上交所,农化制品,0
000899,赣能股份,97.4,1,1,13,139.52,14.63,14.51,13.85,13.67,5.87,1.74,-2.53%,+1.95%,+15.74%,60,深交所,电力,10
600301,华锡有色,87.8,3,2,8,183.24,64.07,62.37,59.53,58.6,9.71,1.28,-2.51%,-3.73%,+30.28%,40,上交所,小金属,5
603031,安孚科技,73.7,2,1,14,182.47,60.95,60.83,57.9,54.93,8.54,1.37,-3.65%,-1.42%,+6.15%,40,上交所,电池,0
603386,骏亚科技,72.3,1,1,15,55.21,17.24,16.74,16.39,16.14,8.09,1.73,+1.17%,+0.82%,+32.92%,55,上交所,元件,0
001258,立新能源,70.0,1,1,14,95.85,10.86,10.75,10.49,10.16,6.27,1.0,-2.07%,+2.45%,+20.40%,40,深交所,电力,10
