代码,名称,综合评分,涨停次数(近20日),连板天数,首次涨停距今(天),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌幅,20日涨跌幅,技术评分,板块,所属行业,板块热度加分
688311,盟升电子,103.0,1,1,5,54.55,30.54,30.06,27.91,27.42,5.98,2.5,+7.69%,+5.20%,+7.54%,60,科创板,军工电子,0
600129,太极集团,89.7,2,1,9,82.49,15.39,14.47,13.81,13.38,5.64,1.47,+2.87%,+13.16%,+11.60%,55,上交所,中药Ⅱ,0
603757,大元泵业,86.1,4,2,13,143.87,77.12,74.52,73.98,66.14,9.67,1.11,+10.00%,+3.96%,+33.59%,35,上交所,通用设备,0
605208,永茂泰,76.6,1,1,8,52.63,18.3,17.39,16.49,16.14,9.67,2.16,+3.45%,+8.28%,+27.17%,55,上交所,工业金属,0
