代码,名称,涨停次数(近20日),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),3日涨跌,技术评分,综合评分,板块,所属行业
300652,雷迪克,1,56.65,48.88,47.32,47.15,44.41,5.67,0.62,↑,40,63.1,创业板,汽车零部
000509,华塑控股,1,42.17,3.96,3.89,3.88,3.72,3.63,0.62,↑,40,63.1,深交所,光学光电
001336,楚环科技,1,14.34,30.24,30.24,30.12,28.44,4.03,0.6,↓,40,63.0,深交所,环保设备
688699,明微电子,1,61.01,65.66,64.38,64.22,55.42,5.81,0.56,↑,40,62.8,科创板,半导体
603375,盛景微,1,28.86,47.91,47.86,47.36,44.8,5.73,0.53,↓,40,62.7,上交所,半导体
600982,宁波能源,1,82.03,6.69,6.67,6.55,6.29,8.22,1.1,↑,35,60.5,上交所,电力
603757,大元泵业,1,112.77,63.66,61.14,58.7,55.72,9.15,1.0,↑,35,60.0,上交所,通用设备
000782,恒申新材,1,43.47,8.33,8.16,8.12,7.31,8.97,0.87,↑,35,59.3,深交所,化学纤维
001339,智微智能,1,100.55,109.0,105.2,102.77,91.05,9.71,0.85,↑,35,59.2,深交所,计算机设
603758,秦安股份,1,58.97,13.31,13.12,12.99,12.77,1.87,0.79,↑,35,59.0,上交所,汽车零部
300488,恒锋工具,1,67.43,38.55,37.98,37.45,33.69,8.91,0.75,↓,35,58.8,创业板,通用设备
300613,富瀚微,1,123.15,63.47,62.86,62.01,57.25,8.64,0.76,↑,35,58.8,创业板,半导体
601789,宁波建工,1,64.99,6.2,6.18,6.18,5.95,8.75,0.73,↑,35,58.6,上交所,房屋建设
605169,洪通燃气,1,36.89,13.49,13.36,13.03,12.75,1.86,0.66,↑,35,58.3,上交所,燃气Ⅱ
603711,香飘飘,1,58.96,15.28,15.02,14.73,13.71,1.54,0.53,↑,35,57.6,上交所,饮料乳品
