代码,名称,综合评分,涨停次数(近20日),连板天数,首次涨停距今(天),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌幅,20日涨跌幅,技术评分,板块,所属行业,板块涨停比,板块趋势,板块热度加分
000968,蓝焰控股,115.8,1,1,2,68.11,6.79,6.55,6.38,6.37,5.86,3.08,-3.55%,+6.09%,-2.02%,60,深交所,油气开采,--,--,0
603367,辰欣药业,113.1,1,1,2,68.37,15.73,14.29,14.0,13.56,6.09,1.91,+4.17%,+14.57%,+18.90%,60,上交所,化学制药,--,--,9
300528,幸福蓝海,108.6,1,1,1,63.31,16.99,15.03,14.63,14.13,7.2,2.06,+19.99%,+23.56%,+16.93%,60,创业板,影视院线,--,--,3
000908,石药景峰,87.5,3,1,10,65.98,7.5,6.91,6.85,6.25,5.46,0.85,+9.97%,+10.29%,+10.46%,40,深交所,化学制药,--,--,9
605208,永茂泰,59.5,1,1,12,52.63,18.94,18.78,17.9,16.77,9.25,1.15,-1.92%,+2.49%,+24.93%,35,上交所,工业金属,--,--,3
