代码,名称,综合评分,涨停次数(近20日),连板天数,首次涨停距今(天),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌幅,20日涨跌幅,技术评分,板块,所属行业,板块热度加分
603011,合锻智能,165.0,5,5,4,135.52,27.41,22.86,21.42,21.41,9.59,2.2,+9.99%,+21.02%,+25.85%,55,上交所,专用设备,0
000727,冠捷科技,121.0,2,2,1,136.34,3.01,2.93,2.9,2.86,5.98,1.6,+9.85%,+2.03%,+12.73%,60,深交所,光学光电,0
000510,新金路,120.9,5,2,7,111.13,18.32,17.76,16.09,15.82,8.8,1.29,+10.03%,+3.21%,+34.51%,50,深交所,化学原料,0
600121,郑州煤电,112.3,2,2,1,57.27,4.7,4.28,4.24,4.23,7.12,1.23,+10.07%,+13.25%,+12.44%,55,上交所,煤炭开采,0
000966,长源电力,103.9,1,1,6,169.93,5.33,5.27,5.08,4.96,6.04,1.59,-1.30%,+1.33%,+15.87%,60,深交所,电力,10
605566,福莱蒽特,102.0,3,2,6,55.67,41.75,39.67,38.43,36.44,8.27,1.4,+10.01%,+11.66%,+27.29%,50,上交所,化学制品,0
000899,赣能股份,95.7,1,1,10,139.52,14.52,13.65,13.5,13.42,7.89,1.57,+3.42%,+3.42%,+8.60%,60,深交所,电力,10
601566,九牧王,92.5,1,1,2,69.3,12.74,12.22,12.13,11.59,6.19,1.25,+5.64%,+16.24%,+21.10%,55,上交所,服装家纺,0
000993,闽东电力,84.6,1,1,14,64.25,14.43,14.29,13.87,13.53,9.93,1.46,-3.02%,+0.35%,+9.15%,50,深交所,电力,10
600850,电科数字,79.5,2,2,11,153.11,25.59,23.96,22.97,21.33,6.16,0.95,+5.18%,+5.31%,+24.46%,40,上交所,IT服务Ⅱ,0
600509,天富能源,67.9,1,1,13,141.98,9.8,9.76,9.67,9.39,6.33,0.79,+0.62%,+0.62%,+17.65%,40,上交所,电力,10
001258,立新能源,66.8,1,1,11,95.85,10.74,10.35,10.28,9.92,6.07,0.68,+2.68%,+4.37%,+12.11%,40,深交所,电力,10
